cmd_date,id_user,product_id,quantity,price,cmd_name,cmd_address,cmd_state,delivery_date,billing_date
2021-01-15,46,631,2,40.22,users46_9,"9, Rue Jules Bourdin [ Oraison ]",canceled,1899-12-30,2021-01-17
2016-10-04,317,326,3,74.16,users317_6,"239, Route du Claux [ Bras-d'Asse ]",canceled,1899-12-30,2016-10-07
2016-12-29,162,88,2,85.66,users162_1,"167, Impasse du Salomon [ Champtercier ]",canceled,1899-12-30,2017-01-01
2020-01-07,491,105,2,95.34,users491_1,"12, Rue de Linthout [ Schaerbeek ]",canceled,1899-12-30,2020-01-09
2019-04-03,436,284,2,40.46,users436_10,HUDDERSFIELD ROAD [ BARNSLEY ],canceled,1899-12-30,2019-04-04
2021-03-31,532,74,3,139.74,users532_1,"16, Rue Rittweger [ Uccle ]",canceled,1899-12-30,2021-04-02
2015-10-05,21,369,2,42.6,users21_10,"1, Saint André [ L'Escale ]",canceled,1899-12-30,2015-10-07
2018-08-31,580,31,2,176.52,users580_7,"5, Avenue du Parc [ Saint-Gilles ]",canceled,1899-12-30,2018-09-01
2018-11-04,136,519,3,66.18,users136_8,"21, Route de la Fontaine [ Bras-d'Asse ]",canceled,1899-12-30,2018-11-07
2020-07-16,9,369,3,63.9,users9_3,"8, Rue du Trou du Loup [ Villeneuve ]",canceled,1899-12-30,2020-07-19
2019-07-02,207,80,2,91.68,users207_7,"28, Boulevard de la Plaine [ Manosque ]",canceled,1899-12-30,2019-07-04
2010-08-08,465,612,1,21.22,users465_2,"17, Avenue des Faons [ Uccle ]",canceled,1899-12-30,2010-08-11
2020-06-09,264,571,1,22.7,users264_7,"16, Montée des Chrestiannes [ Pierrevert ]",canceled,1899-12-30,2020-06-11
2021-02-27,27,10,3,236.91,users27_2,"2, Chemin des Jardins de Notre Dame [ Rougon ]",canceled,1899-12-30,2021-03-01
2016-12-07,154,286,1,22.75,users154_5,"22, Chemin de L'Ombre [ Marcoux ]",canceled,1899-12-30,2016-12-08
2019-02-01,240,409,1,22.05,users240_7,"2018, Chemin de l'Adrech [ Banon ]",canceled,1899-12-30,2019-02-04
2020-11-03,588,5,1,79.49,users588_8,"51D, Avenue Pré des Agneaux [ Auderghem ]",canceled,1899-12-30,2020-11-06
2017-06-10,318,174,2,42.58,users318_2,"2, Rue du 8 Mai 1945 [ Oraison ]",canceled,1899-12-30,2017-06-12
2021-04-16,357,401,3,63.06,users357_3,2 ROBERTS RD [ DONCASTER ],canceled,1899-12-30,2021-04-19
2021-01-15,29,442,3,67.92,users29_2,"49, Place Saint-Sébastien [ Château-Arnoux-Saint-Auban ]",canceled,1899-12-30,2021-01-16
2017-05-23,209,180,2,49.12,users209_5,SPORT FOREVER FR 7,canceled,1899-12-30,2017-05-25
2019-11-04,397,489,1,21.72,users397_4,12 HATHERLEY ROAD [ SIDCUP ],canceled,1899-12-30,2019-11-05
2015-04-06,249,438,3,70.83,users249_2,"222, Route des Bruns [ Les Thuiles ]",canceled,1899-12-30,2015-04-08
2021-05-22,141,470,3,67.08,users141_4,SPORT FOREVER FR 8,canceled,1899-12-30,2021-05-24
2021-03-18,18,252,2,43.02,users18_8,"15, Route de Valensole [ Riez ]",canceled,1899-12-30,2021-03-19
2021-04-26,382,1,1,63.53,users382_5,397 ROMFORD ROAD [ LONDON ],canceled,1899-12-30,2021-04-28
2014-04-11,194,244,3,67.65,users194_4,"535, Chemin du Clos de Bouichard [ Villeneuve ]",canceled,1899-12-30,2014-04-12
2020-12-07,269,29,2,154.82,users269_9,SPORT FOREVER FR 6,canceled,1899-12-30,2020-12-10
2013-10-19,466,573,1,22.06,users466_1,"134, Avenue Gustave Latinis [ Schaerbeek ]",canceled,1899-12-30,2013-10-20
2021-04-19,370,230,3,60.03,users370_10,LIDGRA HOUSE [ LONDON ],canceled,1899-12-30,2021-04-20
2015-06-13,283,320,3,64.56,users283_2,"35, Rue Grande [ Gréoux-les-Bains ]",canceled,1899-12-30,2015-06-16
2021-01-10,286,421,1,20.55,users286_3,"1055, Chemin du Moulin [ Villeneuve ]",canceled,1899-12-30,2021-01-12
2021-01-30,74,629,2,45.34,users74_1,"92, Rue des Tulipes [ Manosque ]",canceled,1899-12-30,2021-02-01
2020-10-09,538,457,3,73.2,users538_8,"41, Rue Camille Simoens [ Schaerbeek ]",canceled,1899-12-30,2020-10-11
2020-03-22,144,484,2,44.04,users144_8,"19, Les Faisses [ Malijai ]",canceled,1899-12-30,2020-03-23
2020-03-30,128,615,3,68.4,users128_1,"31, Route de Montlaux [ Sigonce ]",canceled,1899-12-30,2020-03-31
2015-07-19,201,212,2,45.36,users201_4,"88, Chemin de Fémuy [ Volonne ]",canceled,1899-12-30,1899-12-30
2015-02-19,102,99,1,45.88,users102_8,"2, Avenue du Clos de Coutin [ Gréoux-les-Bains ]",canceled,1899-12-30,1899-12-30
2019-02-10,543,531,3,61.95,users543_1,SPORT FOREVER BE 2,canceled,1899-12-30,1899-12-30
2019-08-16,595,629,1,22.67,users595_9,"32, Rue de l'Aqueduc [ Saint-Gilles ]",canceled,1899-12-30,1899-12-30
2018-09-27,250,93,3,123.03,users250_9,"14BIS, Cite Paradis [ Gréoux-les-Bains ]",canceled,1899-12-30,1899-12-30
2019-07-11,235,441,7,148.54,users235_10,"1082, Chemin du Moulin [ Villeneuve ]",canceled,1899-12-30,1899-12-30
2017-06-18,384,625,2,40.36,users384_4,UNIT 2 [ ADELAIDE INDUSTRIAL ESTATE ],canceled,1899-12-30,1899-12-30
2019-11-26,60,562,3,60.45,users60_5,"1A, Rue Clément Ader [ Château-Arnoux-Saint-Auban ]",canceled,1899-12-30,1899-12-30
2019-11-07,536,108,2,89.12,users536_3,"47, Rue Grétry [ Bruxelles ]",canceled,1899-12-30,1899-12-30
2016-07-19,596,289,1,22.24,users596_10,SPORT FOREVER BE 3,canceled,1899-12-30,1899-12-30
2019-06-10,144,272,3,65.91,users144_9,"19, Les Faisses [ Malijai ]",canceled,1899-12-30,1899-12-30
2012-09-19,117,591,3,60.09,users117_1,SPORT FOREVER FR 1,canceled,1899-12-30,1899-12-30
2018-05-03,257,148,2,46.72,users257_7,"122, Avenue des Savels [ Manosque ]",canceled,1899-12-30,1899-12-30
2021-04-11,568,361,1,21.52,users568_6,"87, Rue Rasson [ Schaerbeek ]",cancel request,1899-12-30,2021-04-13
2020-02-26,89,37,2,146.32,users89_9,"3, Quartier de la Terrasse [ Peyruis ]",cancel request,1899-12-30,2020-02-27
2019-11-20,284,63,3,130.17,users284_9,"8BIS, Rue de la Carraire [ Valensole ]",cancel request,1899-12-30,2019-11-22
2021-05-16,330,603,2,45.1,users330_7,"16, Rue Jean Rameau [ Château-Arnoux-Saint-Auban ]",cancel request,1899-12-30,2021-05-18
2019-12-05,518,163,1,24,users518_3,"2, Avenue des Vaillants [ Woluwe-Saint-Lambert ]",cancel request,1899-12-30,2019-12-07
2020-10-01,346,49,1,42.59,users346_4,"24, Rue des Oliviers [ Roumoules ]",cancel request,1899-12-30,2020-10-03
2017-02-16,572,274,2,42.34,users572_4,"221, Chaussée de Waterloo [ Saint-Gilles ]",cancel request,1899-12-30,2017-02-18
2019-04-30,387,12,3,225.18,users387_4,SPORT FOREVER UK 1,cancel request,1899-12-30,2019-05-01
2020-06-04,74,129,1,40.16,users74_8,"92, Rue des Tulipes [ Manosque ]",cancel request,1899-12-30,2020-06-06
2013-03-09,462,571,3,68.1,users462_10,STATION ROAD [ BERWICKSHIRE ],cancel request,1899-12-30,2013-03-12
2020-10-15,7,383,3,72.72,users7_9,"250D, Chemin de la Madeleine [ Manosque ]",cancel request,1899-12-30,2020-10-18
2020-07-17,204,79,2,99.52,users204_2,"5, Avenue Gutenberg [ Digne-les-Bains ]",cancel request,1899-12-30,2020-07-18
2015-09-12,347,52,2,92.12,users347_7,"7235, Route d'Ainac-Lambert [ La Robine-sur-Galabre ]",cancel request,1899-12-30,2015-09-15
2019-09-13,246,193,2,49.38,users246_6,"186, Chemin des Louves [ Villeneuve ]",cancel request,1899-12-30,2019-09-16
2019-11-02,166,64,2,98.54,users166_1,"3, Rue des Monges [ Digne-les-Bains ]",cancel request,1899-12-30,2019-11-03
2017-04-21,282,448,1,22.48,users282_9,"19, Rue de la Belugue [ Digne-les-Bains ]",cancel request,1899-12-30,2017-04-22
2020-12-30,566,204,3,60,users566_4,"31, Chaussée de Vilvorde [ Bruxelles ]",cancel request,1899-12-30,2021-01-02
2018-01-06,308,264,3,70.89,users308_3,"108, Chemin du Moulin Neuf [ Manosque ]",cancel request,1899-12-30,2018-01-08
2012-10-21,450,414,1,24.26,users450_7,14C ALTHORPE STREET [ LEAMINGTON SPA ],cancel request,1899-12-30,2012-10-24
2020-11-07,495,331,2,43.96,users495_3,"373, Rue de Grand-Bigard [ Berchem-Sainte-Agathe ]",cancel request,1899-12-30,2020-11-09
2021-01-02,221,524,3,63.39,users221_2,"5, Lotissement La Burlière [ Villeneuve ]",cancel request,1899-12-30,2021-01-04
2013-07-21,285,311,2,45.28,users285_1,SPORT FOREVER FR 3,cancel request,1899-12-30,2013-07-23
2015-04-26,233,179,1,21.61,users233_9,"3, Place du Terreau [ Manosque ]",cancel request,1899-12-30,2015-04-29
2016-04-12,438,303,2,43,users438_6,YEW TREE HOUSE [ FOREST ROW ],cancel request,1899-12-30,2016-04-13
2020-09-25,266,493,3,70.71,users266_5,"206, Allée du Félibrige [ Saint-Étienne-les-Orgues ]",cancel request,1899-12-30,2020-09-28
2017-07-26,175,520,2,49.72,users175_7,SPORT FOREVER FR 7,cancel request,1899-12-30,2017-07-29
2020-03-19,430,547,1,23.67,users430_4,151-153 ST JOHN STREET [ OLDHAM ],cancel request,1899-12-30,2020-03-20
