lastname,firstname,daillingCode,phoneNumber,requistration date,address,type,mail,birthday date,store
PERKINS,Lou,33,447390131,2017-09-26,"2, Rue des Cordeliers [ Sisteron ]",3,PERKINS-Lou@SPORTFOREVER.fr,1996-01-30,SPORT FOREVER FR 10
MORROW,Jules,33,779710982,2011-09-12,"263, Boulevard des Amandiers [ Manosque ]",3,MORROW-Jules@SPORTFOREVER.fr,1992-09-30,SPORT FOREVER FR 10
TOWNSEND,Océane,33,89750112,2018-09-27,"20, Rue de l'Égalité [ Volonne ]",3,TOWNSEND-Océane@SPORTFOREVER.fr,1987-03-01,SPORT FOREVER FR 10
SCHULTZ,Lily,33,49554901,2013-12-15,"18, Rue du Mitan [ Castellane ]",2,SCHULTZ-Lily@SPORTFOREVER.fr,1959-09-05,SPORT FOREVER FR 4
MUNOZ,Léon,33,794385777,2010-10-02,"26, Avenue des Alpes [ Valensole ]",3,MUNOZ-Léon@SPORTFOREVER.fr,1955-05-07,SPORT FOREVER FR 8
TODD,Célia,33,55922792,2018-04-27,"7, Chemin de Saint-Claude [ Valensole ]",3,TODD-Célia@SPORTFOREVER.fr,1996-12-07,SPORT FOREVER FR 7
WHITAKER,Mathilde,33,449026321,2014-08-28,"226D, Chemin de la Madeleine [ Manosque ]",3,WHITAKER-Mathilde@SPORTFOREVER.fr,1982-01-10,SPORT FOREVER FR 8
STEPHENS,Céleste,33,731519343,2018-01-27,"21, Chemin des Amandiers [ Reillanne ]",3,STEPHENS-Céleste@SPORTFOREVER.fr,1983-03-24,SPORT FOREVER FR 9
SOTO,Paul,33,429616410,2013-10-08,"4, Impasse des Aiguadiers [ Volx ]",3,SOTO-Paul@SPORTFOREVER.fr,1958-08-12,SPORT FOREVER FR 5
OWEN,Kaïs,33,525245679,2015-10-15,"117, Rue Félicien Bec [ Manosque ]",3,OWEN-Kaïs@SPORTFOREVER.fr,1995-10-09,SPORT FOREVER FR 5
ROTH,Valentine,33,582637920,2017-09-10,"27G, Rue des Balcons du Mont d'Or [ Manosque ]",3,ROTH-Valentine@SPORTFOREVER.fr,1961-11-07,SPORT FOREVER FR 3
ATKINSON,Jules,33,505323344,2016-10-02,"295, Allée des Micocouliers [ Sainte-Tulle ]",3,ATKINSON-Jules@SPORTFOREVER.fr,1982-11-20,SPORT FOREVER FR 1
GALLEGOS,Mathis,33,882966340,2017-10-07,"14A, Rue Saint-Mary [ Forcalquier ]",2,GALLEGOS-Mathis@SPORTFOREVER.fr,1965-10-11,SPORT FOREVER FR 10
HODGES,Lou,33,482259980,2020-06-10,"9, Grosses Listes [ Castellane ]",3,HODGES-Lou@SPORTFOREVER.fr,1991-07-28,SPORT FOREVER FR 4
TORRES,Samuel,33,580792757,2019-12-20,"11, chemin de vaumet [ Digne-les-Bains ]",3,TORRES-Samuel@SPORTFOREVER.fr,1989-02-09,SPORT FOREVER FR 5
COHEN,Agathe,33,581698087,2014-01-26,"13, Quartier de Béard [ Roumoules ]",3,COHEN-Agathe@SPORTFOREVER.fr,1959-03-09,SPORT FOREVER FR 7
KIRK,Antoine,33,890705009,2018-04-10,"47, Le Village Montagnac [ Montagnac-Montpezat ]",3,KIRK-Antoine@SPORTFOREVER.fr,1978-02-26,SPORT FOREVER FR 2
STEPHENS,Ambre,33,633974382,2017-07-15,"9BIS, Avenue Jean Giono [ Forcalquier ]",3,STEPHENS-Ambre@SPORTFOREVER.fr,1998-04-16,SPORT FOREVER FR 2
YANG,Basile,33,5210241,2010-05-23,"258A, Rue Léon Mure [ Manosque ]",3,YANG-Basile@SPORTFOREVER.fr,1989-02-16,SPORT FOREVER FR 9
SCOTT,Aaron,33,261177651,2012-06-04,"2378, Route d'Apt [ Banon ]",3,SCOTT-Aaron@SPORTFOREVER.fr,1992-01-18,SPORT FOREVER FR 5
HAYNES,Alexandre,33,922072482,2015-05-19,"221, Impasse de Glanié [ Saint-Étienne-les-Orgues ]",3,HAYNES-Alexandre@SPORTFOREVER.fr,1975-12-04,SPORT FOREVER FR 6
